roster,capacity,hand_size,days,window,discard_limit,gain_threshold,budget,seed,focal_seats,opponent_revision,timeout,embarrassment,total_spent,budget_remaining,sockless_days,faults,fault_details,budget_exhausted_on_day,source_sha256,python_version
"2,2,2,2",28,4,730,40,1,6,120.0,4001,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,680.75,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4002,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1385.25,110.0,10.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4003,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,676.0,120.0,0.0,0,0,,726,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4004,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,307.5,110.0,10.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4005,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,546.0,120.0,0.0,0,0,,721,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4006,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1636.25,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4007,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1247.25,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4008,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2351.25,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4009,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,305.5,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4010,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1178.75,120.0,0.0,0,0,,,640cb7b3450d4ffa1f74d9e5c8901966f766738b3abb9c71c2aa8a972c15a6d8,3.13.13
